κ,h,K_gain,shock,variable,period,value
0.06,0.0,0.2,ε_rn,i,1,17.42863087065769
0.06,0.0,0.2,ε_rn,i,2,20.25123534937666
0.06,0.0,0.2,ε_rn,i,3,19.73369912804584
0.06,0.0,0.2,ε_rn,i,4,17.505731937534435
0.06,0.0,0.2,ε_rn,i,5,14.72606038318746
0.06,0.0,0.2,ε_rn,i,6,12.026458512374393
0.06,0.0,0.2,ε_rn,i,7,9.672458486216891
0.06,0.0,0.2,ε_rn,i,8,7.726690139145351
0.06,0.0,0.2,ε_rn,i,9,6.159802355972508
0.06,0.0,0.2,ε_rn,i,10,4.911853997952197
0.06,0.0,0.2,ε_rn,i,11,3.9208400769841423
0.06,0.0,0.2,ε_rn,i,12,3.1331856547094743
0.06,0.0,0.2,ε_rn,i,13,2.5058271171043223
0.06,0.0,0.2,ε_rn,i,14,2.005093260273002
0.06,0.0,0.2,ε_rn,i,15,1.6048032339765779
0.06,0.0,0.2,ε_rn,π,0,0.641619359130077
0.06,0.0,0.2,ε_rn,π,1,0.6317550452836038
0.06,0.0,0.2,ε_rn,π,2,0.4587440654382274
0.06,0.0,0.2,ε_rn,π,3,0.29683715347892226
0.06,0.0,0.2,ε_rn,π,4,0.1860011098193496
0.06,0.0,0.2,ε_rn,π,5,0.11995625910011594
0.06,0.0,0.2,ε_rn,π,6,0.08300299875055932
0.06,0.0,0.2,ε_rn,π,7,0.0622092604375071
0.06,0.0,0.2,ε_rn,π,8,0.049524549119941835
0.06,0.0,0.2,ε_rn,π,9,0.04070548068385966
0.06,0.0,0.2,ε_rn,π,10,0.03380086063146423
0.06,0.0,0.2,ε_rn,π,11,0.028023711043265176
0.06,0.0,0.2,ε_rn,π,12,0.02309018456429201
0.06,0.0,0.2,ε_rn,π,13,0.01889265142658592
0.06,0.0,0.2,ε_rn,π,14,0.015364238500963585
0.06,0.0,0.2,ε_rn,π,15,0.012436106362917497
0.06,0.0,0.2,ε_rn,ygap,0,0.9302771657433035
0.06,0.0,0.2,ε_rn,ygap,1,0.4724288972968351
0.06,0.0,0.2,ε_rn,ygap,2,0.2120291896438549
0.06,0.0,0.2,ε_rn,ygap,3,0.0843322547678906
0.06,0.0,0.2,ε_rn,ygap,4,0.030368968593511327
0.06,0.0,0.2,ε_rn,ygap,5,0.011597223193826372
0.06,0.0,0.2,ε_rn,ygap,6,0.007035077338060907
0.06,0.0,0.2,ε_rn,ygap,7,0.006889747352427858
0.06,0.0,0.2,ε_rn,ygap,8,0.007347114934611154
0.06,0.0,0.2,ε_rn,ygap,9,0.007328782155099584
0.06,0.0,0.2,ε_rn,ygap,10,0.006789499356958483
0.06,0.0,0.2,ε_rn,ygap,11,0.005952438615664034
0.06,0.0,0.2,ε_rn,ygap,12,0.005028554876432354
0.06,0.0,0.2,ε_rn,ygap,13,0.004149457872480543
0.06,0.0,0.2,ε_rn,ygap,14,0.003376436862762799
0.06,0.0,0.2,ε_rn,ygap,15,0.0027261568303473867
0.06,0.0,0.2,ε_ν,i,0,-0.26422681134311315
0.06,0.0,0.2,ε_ν,i,1,-0.4561276710343242
0.06,0.0,0.2,ε_ν,i,2,-0.5173414421317685
0.06,0.0,0.2,ε_ν,i,3,-0.48358578247776174
0.06,0.0,0.2,ε_ν,i,4,-0.4036681369717222
0.06,0.0,0.2,ε_ν,i,5,-0.31303175079942436
0.06,0.0,0.2,ε_ν,i,6,-0.23080099885678085
0.06,0.0,0.2,ε_ν,i,7,-0.16427487951094089
0.06,0.0,0.2,ε_ν,i,8,-0.11408046847558988
0.06,0.0,0.2,ε_ν,i,9,-0.07789367716735562
0.06,0.0,0.2,ε_ν,i,10,-0.05258567997849337
0.06,0.0,0.2,ε_ν,i,11,-0.035238674365365305
0.06,0.0,0.2,ε_ν,i,12,-0.023502181334288733
0.06,0.0,0.2,ε_ν,i,13,-0.015625964934886924
0.06,0.0,0.2,ε_ν,i,14,-0.010366427184379749
0.06,0.0,0.2,ε_ν,i,15,-0.00686488406256924
0.06,0.0,0.2,ε_ν,π,0,-0.08338697391413087
0.06,0.0,0.2,ε_ν,π,1,-0.09860522501661863
