h,rho_att,i0_bp,icum8_bp
0.65,0.45,10.409456654639408,18.926163397680792
0.65,0.5,9.987419475823303,18.019561056642836
0.65,0.55,9.48285013628903,16.34941931765292
0.65,0.6,8.869577730194644,13.470561313865861
0.65,0.65,8.109283504141207,8.652747522182924
0.65,0.7,7.143634921353721,0.6688631254709501
0.65,0.75,5.879468840260233,-12.611735732524192
0.65,0.8,4.158681956564742,-35.060463800711815
0.65,0.85,1.690751017388207,-74.1821199528673
0.65,0.9,-2.11984989770459,-145.98173887093756
0.65,0.95,-8.707469673383589,-290.0677964368898
0.7,0.0,12.623824300598907,17.566966828921526
0.7,0.05,12.500149268224753,17.999988081962975
0.7,0.1,12.363180415873993,18.429702223750862
0.7,0.15,12.210690249567264,18.847082295015543
0.7,0.2,12.039931234364,19.238798610901355
0.7,0.25,11.847476382012044,19.58503794339112
0.7,0.3,11.628997931971945,19.856051641409724
0.7,0.35,11.37895436131843,20.006647555228476
0.7,0.4,11.090138507343424,19.967342769483608
0.7,0.45,10.7530097779248,19.630042172011482
0.7,0.5,10.354680752623747,18.824599673682787
0.7,0.55,9.87733173556318,17.279843819034763
0.7,0.6,9.295641040284755,14.557311091763927
0.7,0.65,8.572442988039358,9.935113668992804
0.7,0.7,7.651017222564525,2.196064526284771
0.7,0.75,6.440540340514202,-10.779878719328064
0.7,0.8,4.7864783356546505,-32.856172808291255
0.7,0.85,2.4041551054450547,-71.54252127732094
0.7,0.9,-1.2912528087462314,-142.89237955058522
0.7,0.95,-7.710365734162974,-286.69983649614755
0.75,0.0,12.853675774401054,18.022810798968358
0.75,0.05,12.740001230680202,18.487879036944623
0.75,0.1,12.613935959726119,18.954189554061912
0.75,0.15,12.473379781102615,19.413676126518684
0.75,0.2,12.31573745764301,19.85422674873386
0.75,0.25,12.137765705106164,20.257580042768545
0.75,0.3,11.935360380156773,20.59597436438832
0.75,0.35,11.703254918080246,20.82677137426126
0.75,0.4,11.434584048401266,20.883779448012792
0.75,0.45,11.120237658066912,20.66315129439102
0.75,0.5,10.747878065472104,20.000220933374283
0.75,0.55,10.300399033942217,18.63086329292135
0.75,0.6,9.753422265403769,16.125598825556185
0.75,0.65,9.071057250072611,11.773785659186325
0.75,0.7,8.198353729306824,4.371766323390771
0.75,0.75,7.0470287807966265,-8.185692602186972
0.75,0.8,5.466359295447883,-29.75002589512404
0.75,0.85,3.177760498237954,-67.83475612354859
0.75,0.9,-0.3928052438002587,-138.5532181723162
0.75,0.95,-6.632853694160032,-281.9407081305474
0.8,0.0,13.100823820129321,18.73831527229709
0.8,0.05,12.998171835743655,19.252975240490603
0.8,0.1,12.884145124881263,19.775710573012823
0.8,0.15,12.756789057614684,20.299843495274917
0.8,0.2,12.613682828848274,20.81500876537122
0.8,0.25,12.451793929816821,21.30515566185589
0.8,0.3,12.267275214610297,21.74533545560829
0.8,0.35,12.05517659032512,22.096506206938734
0.8,0.4,11.809026772369466,22.297092923189517
0.8,0.45,11.520212103227289,22.24919246324193
0.8,0.5,11.177028975992947,21.79580378007314
0.8,0.55,10.763193369224581,20.682676002719113
0.8,0.6,10.255411659472923,18.49298069926392
0.8,0.65,9.619252800102762,14.53205702717398
0.8,0.7,8.801776225021209,7.615781659780868
0.8,0.75,7.717544697710051,-4.339037619453751
0.8,0.8,6.220010412549504,-25.1643481140798
0.8,0.85,4.037029364256288,-62.37404029146039
0.8,0.9,0.6053698991654797,-132.15707535044973
0.8,0.95,-5.440789030843667,-274.87701028907816
0.85,0.0,13.373313462496272,19.92359682135659
0.85,0.05,13.283204781094476,20.51902332721943
0.85,0.1,13.182908837988371,21.133322652534435
0.85,0.15,13.070644894605296,21.761934265296365
0.85,0.2,12.944201128658674,22.39714035360945
0.85,0.25,12.800798269543662,23.02622218033051
0.85,0.3,12.63689880466467,23.62845080682054
0.85,0.35,12.447934953824706,24.17016007923542
0.85,0.4,12.227912564589115,24.596660887259194
0.85,0.45,11.968820473935622,24.818912506138016
0.85,0.5,11.659725732749205,24.6913621852717
0.85,0.55,11.285344138754564,23.974573184615274
0.85,0.6,10.823699559929466,22.27084901528192
0.85,0.65,10.242127016455436,18.910008234459774
0.85,0.7,9.49009807998966,12.738470905805167
0.85,0.75,8.485537960965777,1.7087813761194939
0.85,0.8,7.086691474474398,-17.976477920679855
0.85,0.85,5.0284239431039355,-53.82214254035507
0.85,0.9,1.7581787324273512,-122.11598358346193
0.85,0.95,-4.071405996579989,-263.7034227448846
0.9,0.0,13.687313372634058,22.04112689091527
0.9,0.05,13.612286855478898,22.778405851604052
0.9,0.1,13.528554248493323,23.553014040664557
0.9,0.15,13.434558704419006,24.36390600578403
0.9,0.2,13.328358702890522,25.207741147298883
0.9,0.25,13.207504065960455,26.077291098419533
0.9,0.3,13.068861620913411,26.958763685987808
0.9,0.35,12.908365312412368,27.827320601961695
0.9,0.4,12.72065025543748,28.639587636046198
0.9,0.45,12.498503722137619,29.321126599492818
0.9,0.5,12.232018594030585,29.74534837690109
0.9,0.55,11.907246422054103,29.69756548779901
0.9,0.6,11.503975098045917,28.81245296809271
0.9,0.65,10.991903035099677,26.462020775184897
0.9,0.7,10.323711819328425,21.54679271811021
0.9,0.75,9.421733248169897,12.08548486639825
0.9,0.8,8.150274760076845,-5.649122415799034
0.9,0.85,6.252379625250418,-39.12494368586454
0.9,0.9,3.185686396876189,-104.76574774817044
