regime,K_gain,A,ρ_att,raw_payoff_bp,p_det,expected_utility_bp
Naive Fed (K=1.00),1.0,0.4,0.6,1.7256239581179162,0.07981234937512494,1.5878978558825232
Naive Fed (K=1.00),1.0,0.4,0.65,4.9745251526702585,0.08616854977059951,4.545877534467293
Naive Fed (K=1.00),1.0,0.4,0.7,9.898941945956263,0.09248084468283913,8.98347943332784
Naive Fed (K=1.00),1.0,0.4,0.75,17.51224815670797,0.0987495373891698,15.782921752588715
Naive Fed (K=1.00),1.0,0.4,0.8,29.586423601191406,0.10497492907202755,26.480590882161376
Naive Fed (K=1.00),1.0,0.4,0.85,49.39600653667133,0.11115731883342983,43.90527888897637
Naive Fed (K=1.00),1.0,0.4,0.9,83.48130220210147,0.11729700370934515,73.68919558804062
Naive Fed (K=1.00),1.0,0.4,0.95,146.4938134964969,0.12339427868396491,128.41731504843338
Naive Fed (K=1.00),1.0,0.5,0.0,-6.070705394293546,0.0,-6.070705394293546
Naive Fed (K=1.00),1.0,0.5,0.05,-6.095556539427042,0.010771986806024536,-6.0298952848089575
Naive Fed (K=1.00),1.0,0.5,0.1,-6.09197059822163,0.02142793791229991,-5.961432230479381
Naive Fed (K=1.00),1.0,0.5,0.15,-6.049870756319902,0.031969103253852826,-5.856461813438647
Naive Fed (K=1.00),1.0,0.5,0.2,-5.955509653470096,0.0423967193014263,-5.70301558239499
Naive Fed (K=1.00),1.0,0.5,0.25,-5.789872424615176,0.052712009206517196,-5.4846766160643
Naive Fed (K=1.00),1.0,0.5,0.3,-5.526247290899905,0.06291618294485002,-5.178556905347165
Naive Fed (K=1.00),1.0,0.5,0.35,-5.126484061680734,0.07301043745830715,-4.752197217714384
Naive Fed (K=1.00),1.0,0.5,0.4,-4.5351689082977416,0.08299595679532878,-4.158768225525144
Naive Fed (K=1.00),1.0,0.5,0.45,-3.670451631430245,0.09287391224980057,-3.329562428695655
Naive Fed (K=1.00),1.0,0.5,0.5,-2.409406059221369,0.10264546249844642,-2.162091459926032
Naive Fed (K=1.00),1.0,0.5,0.55,-0.5642634675065887,0.1123117537367394,-0.50089004790135
Naive Fed (K=1.00),1.0,0.5,0.6,2.1570299476473953,0.12187391981335027,1.8941442527728216
Naive Fed (K=1.00),1.0,0.5,0.65,6.218156440837819,0.1313330823631469,5.4015067888463335
Naive Fed (K=1.00),1.0,0.5,0.7,12.373677432445328,0.14069035093876103,10.632820412071567
Naive Fed (K=1.00),1.0,0.5,0.75,21.89031019588496,0.14994682314073826,18.6079277244467
Naive Fed (K=1.00),1.0,0.5,0.8,36.983029501489256,0.1591035847462855,31.098896933024683
Naive Fed (K=1.00),1.0,0.5,0.85,61.74500817083916,0.1681617098366317,51.36186202295405
Naive Fed (K=1.00),1.0,0.5,0.9,104.35162775262685,0.17712226092301753,85.86863151408448
Naive Fed (K=1.00),1.0,0.5,0.95,183.11726687062108,0.18598628907132608,149.0599659404706
Naive Fed (K=1.00),1.0,0.6,0.0,-7.284846473152257,0.0,-7.284846473152257
Naive Fed (K=1.00),1.0,0.6,0.05,-7.314667847312448,0.015474826662586039,-7.201474630280896
Naive Fed (K=1.00),1.0,0.6,0.1,-7.31036471786596,0.030710183064935004,-7.085862079108855
Naive Fed (K=1.00),1.0,0.6,0.15,-7.259844907583884,0.04570977496781492,-6.927999030556987
Naive Fed (K=1.00),1.0,0.6,0.2,-7.146611584164112,0.0604772507859882,-6.71440416311857
Naive Fed (K=1.00),1.0,0.6,0.25,-6.947846909538209,0.07501620247563134,-6.4266458190026015
Naive Fed (K=1.00),1.0,0.6,0.3,-6.631496749079888,0.0893301664080215,-6.0391040409503285
Naive Fed (K=1.00),1.0,0.6,0.35,-6.15178087401688,0.1034226242297035,-5.515547552339955
Naive Fed (K=1.00),1.0,0.6,0.4,-5.442202689957288,0.11729700370934515,-4.8038486208463596
Naive Fed (K=1.00),1.0,0.6,0.45,-4.404541957716294,0.13095667957148838,-3.827737767900465
Naive Fed (K=1.00),1.0,0.6,0.5,-2.8912872710656448,0.14440497431739774,-2.4737710069431915
Naive Fed (K=1.00),1.0,0.6,0.55,-0.6771161610079013,0.15764515903320697,-0.5703720761218561
Naive Fed (K=1.00),1.0,0.6,0.6,2.5884359371768757,0.17068045418555822,2.1466405157893056
Naive Fed (K=1.00),1.0,0.6,0.65,7.4617877290053825,0.1835140304049313,6.092444988829546
Naive Fed (K=1.00),1.0,0.6,0.7,14.848412918934388,0.19614900925684853,11.935911435848817
Naive Fed (K=1.00),1.0,0.6,0.75,26.268372235061946,0.20858846400114683,20.789092818740002
Naive Fed (K=1.00),1.0,0.6,0.8,44.379635401787105,0.2208354203395001,34.57903996331969
Naive Fed (K=1.00),1.0,0.6,0.85,74.09400980500699,0.2328928571513731,56.83804416371706
Naive Fed (K=1.00),1.0,0.6,0.9,125.22195330315222,0.2447637072185872,94.57216378751987
Naive Fed (K=1.00),1.0,0.6,0.95,219.74072024474535,0.2564508579386736,163.38802401391834
Naive Fed (K=1.00),1.0,0.7,0.0,-8.498987552010966,0.0,-8.498987552010966
Naive Fed (K=1.00),1.0,0.7,0.05,-8.533779155197854,0.02100391203019203,-8.354536408536992
Naive Fed (K=1.00),1.0,0.7,0.1,-8.528758837510285,0.041566659739811995,-8.17424682090858
Naive Fed (K=1.00),1.0,0.7,0.15,-8.469819058847857,0.06169750930544016,-7.9472523186491975
Naive Fed (K=1.00),1.0,0.7,0.2,-8.337713514858132,0.08140553227769876,-7.658977508202144
